Provincie;Gemeente;NISCODE;Jaar;Maand;Vermogen wind in kW;Aantal windturbines;datum_bron_bestand;bronbestand
WEST-VLAANDEREN;BRUGGE;"31005";2019;8;3750.000;1;2022-02-28;installaties_wind_202202.xlsx
WEST-VLAANDEREN;BRUGGE;"31005";2019;12;3500.000;1;2022-02-28;installaties_wind_202202.xlsx
WEST-VLAANDEREN;BRUGGE;"31005";2020;2;3600.000;1;2022-02-28;installaties_wind_202202.xlsx
WEST-VLAANDEREN;BRUGGE;"31005";2021;1;44000.000;11;2022-02-28;installaties_wind_202202.xlsx
WEST-VLAANDEREN;BRUGGE;"31005";2021;11;18000.000;5;2022-02-28;installaties_wind_202202.xlsx
WEST-VLAANDEREN;DIKSMUIDE;"32003";< 2006;;1600.000;2;2022-02-28;installaties_wind_202202.xlsx
WEST-VLAANDEREN;GISTEL;"35005";2007;4;9200.000;4;2022-02-28;installaties_wind_202202.xlsx
WEST-VLAANDEREN;GISTEL;"35005";2007;5;4600.000;2;2022-02-28;installaties_wind_202202.xlsx
WEST-VLAANDEREN;HARELBEKE;"34013";2009;2;2000.000;1;2022-02-28;installaties_wind_202202.xlsx
WEST-VLAANDEREN;HARELBEKE;"34013";2012;8;4100.000;2;2022-02-28;installaties_wind_202202.xlsx
WEST-VLAANDEREN;IEPER;"33011";2009;4;2300.000;1;2022-02-28;installaties_wind_202202.xlsx
WEST-VLAANDEREN;IEPER;"33011";2009;5;9200.000;4;2022-02-28;installaties_wind_202202.xlsx
WEST-VLAANDEREN;IEPER;"33011";2009;6;2300.000;1;2022-02-28;installaties_wind_202202.xlsx
WEST-VLAANDEREN;IEPER;"33011";2009;7;2300.000;1;2022-02-28;installaties_wind_202202.xlsx
WEST-VLAANDEREN;IEPER;"33011";2009;12;4600.000;2;2022-02-28;installaties_wind_202202.xlsx
WEST-VLAANDEREN;IZEGEM;"36008";2008;8;4000.000;2;2022-02-28;installaties_wind_202202.xlsx
WEST-VLAANDEREN;IZEGEM;"36008";2009;8;4600.000;2;2022-02-28;installaties_wind_202202.xlsx
WEST-VLAANDEREN;IZEGEM;"36008";2011;7;4000.000;2;2022-02-28;installaties_wind_202202.xlsx
WEST-VLAANDEREN;KNOKKE-HEIST;"31043";2019;8;3750.000;1;2022-02-28;installaties_wind_202202.xlsx
WEST-VLAANDEREN;KORTRIJK;"34022";2009;3;6000.000;3;2022-02-28;installaties_wind_202202.xlsx
WEST-VLAANDEREN;MENEN;"34027";2012;12;4600.000;2;2022-02-28;installaties_wind_202202.xlsx
WEST-VLAANDEREN;MIDDELKERKE;"35011";< 2006;;1560.000;2;2022-02-28;installaties_wind_202202.xlsx
WEST-VLAANDEREN;MIDDELKERKE;"35011";2007;6;800.000;1;2022-02-28;installaties_wind_202202.xlsx
WEST-VLAANDEREN;POPERINGE;"33021";2013;9;4100.000;2;2022-02-28;installaties_wind_202202.xlsx
WEST-VLAANDEREN;POPERINGE;"33021";2014;1;4100.000;2;2022-02-28;installaties_wind_202202.xlsx
WEST-VLAANDEREN;ROESELARE;"36015";2014;3;2500.000;1;2022-02-28;installaties_wind_202202.xlsx
WEST-VLAANDEREN;ROESELARE;"36015";2014;4;10000.000;4;2022-02-28;installaties_wind_202202.xlsx
WEST-VLAANDEREN;WAREGEM;"34040";2016;3;4000.000;2;2022-02-28;installaties_wind_202202.xlsx
WEST-VLAANDEREN;WIELSBEKE;"37017";2014;7;6900.000;3;2022-02-28;installaties_wind_202202.xlsx
WEST-VLAANDEREN;WIELSBEKE;"37017";2016;11;2300.000;1;2022-02-28;installaties_wind_202202.xlsx
WEST-VLAANDEREN;ZEDELGEM;"31040";< 2006;;1800.000;1;2022-02-28;installaties_wind_202202.xlsx
WEST-VLAANDEREN;ZWEVEGEM;"34042";2012;8;2050.000;1;2022-02-28;installaties_wind_202202.xlsx
